latitude,longitude,storeNumber,addressLocality,addressRegion,streetAddress,postalCode
45.0124996,-93.294336,52082,Minneapolis,MN,3108 N Emerson Ave,55411-1366
45.035205,-93.308239,57638,Minneapolis,MN,2147 N 44th Ave,55412-1162
44.9740596,-93.227095,50999,Minneapolis,MN,215 Oak St Se,55414-2908
45.035512,-93.2628838,695561,Minneapolis,MN,Ne University Ave,55418
45.007896,-93.237061,54438,Minneapolis,MN,1901 Johnson St Ne,55418-4737
44.915413,-93.308585,769639,Minneapolis,MN,4899 E Lake Harriet Blvd,55419
44.89549,-93.308483,64112,Minneapolis,MN,5957 S Penn Ave,55419-2030
44.859225,-93.286252,771001,Minneapolis,MN,427 American Blvd W,55420
44.827939,-93.288322,86285,Minneapolis,MN,9723 Lyndale Ave S,55420-4232
45.026038,-93.312443,60538,Minneapolis,MN,2508 39th Ave,55421
45.008235,-93.336796,854504,Minneapolis,MN,4080 W Broadway Ave,55422
44.8907175,-93.2528802,695560,Minneapolis,MN,Bloomington Ave S,55423
45.008642,-93.380557,61493,Minneapolis,MN,2757 Winnetka Ave N,55427-2830
44.890838,-93.222077,769640,Minneapolis,MN,7841 62nd Ave N,55428
45.05944,-93.312024,62747,Minneapolis,MN,2548 Co Hwy 10,55430-2502
45.107616,-93.26357,854500,Minneapolis,MN,7510 University Ave Ne,55432
44.808001,-93.384902,639925,Minneapolis,MN,7700 W Old Shakopee Rd,55438
44.809399,-93.383972,854501,Minneapolis,MN,10700 Bloomington Ferry Rd,55438-2257
44.87484,-93.362,854503,Minneapolis,MN,7082 Amundson Ave,55439-2016
45.02708,-93.448776,854505,Minneapolis,MN,"3900 Vinewood Ln N, #39",55441-1153
45.025709,-93.448957,79090,Minneapolis,MN,3900 Vinewood Ln,55441-1155
45.123842,-93.356043,88543,Minneapolis,MN,9322 Zane Ave N,55443
45.097532,-93.322156,854502,Minneapolis,MN,3260 Brookdale Dr N,55443-2884
44.977655,-93.232585,853937,Minneapolis,MN,10 Church St SE,55455-0145
44.9057122,-93.4633049,84414,Minnetonka,MN,14414 Excelsior Blvd,55345-5820
45.3056967,-93.7946113,636269,Monticello,MN,106 Broadway St W,55362
45.305519,-93.794875,43460,Monticello,MN,112 W Broadway St,55362-9351
46.8725,-96.7468,439081,Moorhead,MN,207 21st St S,56560
44.935968,-93.657716,27000,Mound,MN,2330 Wilshire Blvd,55364-1635
45.0501093,-93.2173842,67694,Mounds View,MN,2398 County Road E W,55112-7139
45.0656,-93.37969,75062,New Hope,MN,7841 62nd Ave N,55428-2831
44.5729,-93.3513,439086,New Market,MN,10 Church Street,55054
44.543609,-93.5771543,46109,New Prague,MN,106 Main St E,56071-2440
44.3164171,-94.461884,370405,New Ulm,MN,315 N Minnesota St,56073
45.519643,-92.974534,47974,North Branch,MN,5862 Oak Ridge Ct,55056-6681
44.4562619,-93.159947,49437,Northfield,MN,110 E 4th St,55057-2054
44.770116,-93.936967,173978,Norwood Young America,MN,640 Railroad St W,55368
45.03318,-92.84691,30515,Oak Park Heights,MN,5863 Neal Ave N,55082-2177
44.0890509,-93.2203942,324866,Owatonna,MN,221 Mineral Springs Rd,55060
45.8823,-92.8371,439116,Pine City,MN,120 Evergreen Square,55063
45.0113,-93.46065,65915,Plymouth,MN,11134 Mn Highway 55,55441
44.991411,-93.481604,83154,Plymouth,MN,1115 Vicksburg Ln N,55447-3216
45.5695388,-93.5801244,51896,Princeton,MN,114 La Grande Ave S,55371-1935
44.717278,-93.419056,25522,Prior Lake,MN,4995 160th St Se,55372-2543
44.5650253,-92.5636716,50378,Red Wing,MN,2233 Old West Main St,55066
44.5664798,-92.5808748,51490,Red Wing,MN,3019 S Service Dr,55066-1942
44.566479,-92.580902,853976,Red Wing,MN,3019 S Service Dr,55066-1942
45.029369,-93.33615,58914,Robbinsdale,MN,4080 W Broadway Ave,55422-5605
44.0627942,-92.4889151,613587,Rochester,MN,18th Ave Nw,55901
44.065167,-92.506624,392361,Rochester,MN,2986 41st St NW,55901
44.0187359,-92.4588623,327987,Rochester,MN,438 3rd Ave SE,55904
45.083792,-93.730081,603969,Rockford,MN,8060 State Highway 55,55373
45.0773445,-93.6973595,27759,Rockford,MN,7199 State Highway 55 Se,55373-9426
45.2019581,-93.5538695,29536,Rogers,MN,13625 Northdale Blvd,55374-2155
45.5913118,-94.1671868,360007,Sauk Rapids,MN,202 2nd Ave N,56379
44.798675,-93.524848,23104,Shakopee,MN,224 1st Ave E,55379
45.0462447,-93.1470317,73526,Shoreview,MN,3470 Lexington Ave N,55126-8082
45.555336,-94.169069,365628,St Cloud,MN,1507 1st St S,56301
44.948306,-93.350288,56913,St Louis Park,MN,5551 W Lake St,55416-2117
45.2101102,-93.6634016,33770,St Michael,MN,27 Central Ave E,55376
44.94789,-93.098552,80856,St Paul,MN,477 Saint Peter St,55102-1110
